fine_grained_class,count
Approaching [something] with your camera,1162
Attaching [something] to [something],837
Bending [something] so that it deforms,497
Bending [something] until it breaks,487
Burying [something] in [something],603
Closing [something],1068
Covering [something] with [something],2727
Digging [something] out of [something],449
Dropping [something] behind [something],783
Dropping [something] in front of [something],890
Dropping [something] into [something],903
Dropping [something] next to [something],982
Dropping [something] onto [something],1122
Failing to put [something] into [something] because [something] does not fit,273
Folding [something],972
Hitting [something] with [something],1738
Holding [something],1459
Holding [something] behind [something],991
Holding [something] in front of [something],1781
Holding [something] next to [something],1403
Holding [something] over [something],1260
"Laying [something] on the table on its side, not upright",689
Letting [something] roll along a flat surface,783
Letting [something] roll down a slanted surface,669
"Letting [something] roll up a slanted surface, so it rolls back down",348
Lifting [something] up completely without letting it drop down,1673
"Lifting [something] up completely, then letting it drop down",1593
Lifting [something] with [something] on it,1501
Lifting a surface with [something] on it but not enough for it to slide down,225
Lifting a surface with [something] on it until it starts sliding down,317
Lifting up one end of [something] without letting it drop down,1430
"Lifting up one end of [something], then letting it drop down",1594
Moving [part] of [something],639
Moving [something] across a surface until it falls down,687
Moving [something] across a surface without it falling down,680
Moving [something] and [something] away from each other,1520
Moving [something] and [something] closer to each other,1563
Moving [something] and [something] so they collide with each other,464
Moving [something] and [something] so they pass each other,501
Moving [something] away from [something],910
Moving [something] away from the camera,881
Moving [something] closer to [something],907
Moving [something] down,2741
Moving [something] towards the camera,853
Moving [something] up,3170
Moving away from [something] with your camera,1076
Opening [something],1253
Picking [something] up,980
Piling [something] up,790
Plugging [something] into [something],1195
Plugging [something] into [something] but pulling it right out as you remove your hand,671
Poking [something] so it slightly moves,1287
Poking [something] so lightly that it doesn't or almost doesn't move,2075
Poking [something] so that it falls over,679
Poking [something] so that it spins around,153
Poking a hole into [some substance],91
Poking a hole into [something soft],185
Poking a stack of [something] so the stack collapses,291
Poking a stack of [something] without the stack collapsing,217
Pouring [something] into [something],873
Pouring [something] into [something] until it overflows,239
Pouring [something] onto [something],274
Pouring [something] out of [something],314
Pretending or failing to wipe [something] off of [something],320
Pretending or trying and failing to twist [something],311
Pretending to be tearing [something that is not tearable],796
Pretending to close [something] without actually closing it,908
Pretending to open [something] without actually opening it,1473
Pretending to pick [something] up,1547
Pretending to poke [something],523
"Pretending to pour [something] out of [something], but [something] is empty",314
Pretending to put [something] behind [something],697
Pretending to put [something] into [something],1044
Pretending to put [something] next to [something],1204
Pretending to put [something] on a surface,1391
Pretending to put [something] onto [something],669
Pretending to put [something] underneath [something],337
Pretending to scoop [something] up with [something],322
Pretending to spread air onto [something],169
Pretending to sprinkle air onto [something],408
Pretending to squeeze [something],717
Pretending to take [something] from [somewhere],1204
Pretending to take [something] out of [something],924
Pretending to throw [something],915
Pretending to turn [something] upside down,725
Pulling [something] from behind of [something],462
Pulling [something] from left to right,1555
Pulling [something] from right to left,1587
Pulling [something] onto [something],290
Pulling [something] out of [something],548
Pulling two ends of [something] but nothing happens,493
Pulling two ends of [something] so that it gets stretched,292
Pulling two ends of [something] so that it separates into two pieces,199
Pushing [something] from left to right,2949
Pushing [something] from right to left,2724
Pushing [something] off of [something],526
Pushing [something] onto [something],351
Pushing [something] so it spins,573
